股票代號,個股名稱,投資比例(%),持有股數
3036,文曄(3036.TW),9.27,"4,943,000"
2412,中華電(2412.TW),8.87,"8,341,000"
2330,台積電(2330.TW),8.15,"561,000"
2303,聯電(2303.TW),7.39,"15,869,000"
2454,聯發科(2454.TW),5.79,"454,000"
3044,健鼎(3044.TW),5.15,"1,831,000"
2344,華邦電(2344.TW),2.22,"2,873,000"
1590,亞德客-KY(1590.TW),2.20,"277,000"
3037,欣興(3037.TW),2.09,"524,000"
2327,國巨*(2327.TW),2.02,"986,000"
6515,穎崴(6515.TW),1.66,"25,000"
3167,大量(3167.TW),1.55,"565,000"
2360,致茂(2360.TW),1.52,"119,000"
2383,台光電(2383.TW),1.48,"66,000"
3533,嘉澤(3533.TW),1.46,"86,000"
2337,旺宏(2337.TW),1.44,"1,290,000"
3105,穩懋(3105.TW),1.38,"507,000"
2368,金像電(2368.TW),1.29,"178,000"
2313,華通(2313.TW),1.29,"713,000"
8996,高力(8996.TW),1.28,"198,000"
2308,台達電(2308.TW),1.26,"103,000"
3017,奇鋐(3017.TW),1.26,"76,000"
7751,竑騰(7751.TW),1.24,"100,000"
2345,智邦(2345.TW),1.19,"90,000"
6770,力積電(6770.TW),1.16,"2,257,000"
3715,定穎投控(3715.TW),1.16,"808,000"
6285,啟碁(6285.TW),1.11,"783,000"
6442,光聖(6442.TW),1.10,"66,000"
6223,旺矽(6223.TW),1.09,"37,000"
3653,健策(3653.TW),1.09,"35,000"
6274,台燿(6274.TW),1.05,"229,000"
1815,富喬(1815.TW),1.04,"1,217,000"
6805,富世達(6805.TW),1.02,"68,000"
2883,凱基金(2883.TW),1.01,"6,269,000"
3481,群創(3481.TW),1.00,"4,943,000"
3324,雙鴻(3324.TW),0.99,"121,000"
3491,昇達科(3491.TW),0.98,"88,000"
1303,南亞(1303.TW),0.95,"1,594,000"
3264,欣銓(3264.TW),0.94,"772,000"
1560,中砂(1560.TW),0.91,"252,000"
8021,尖點(8021.TW),0.91,"469,000"
6290,良維(6290.TW),0.90,"527,000"
2882,國泰金(2882.TW),0.89,"1,578,000"
6446,藥華藥(6446.TW),0.87,"172,000"
2449,京元電子(2449.TW),0.86,"378,000"
1519,華城(1519.TW),0.85,"117,000"
8358,金居(8358.TW),0.85,"475,000"
8299,群聯(8299.TW),0.82,"60,000"
4722,國精化(4722.TW),0.81,"595,000"
5274,信驊(5274.TW),0.63,"7,000"
